personnel_id,rank,age,years_of_service,deployment_months,family_separation,leaves_availed,leaves_cancelled,duty_hours_per_day,transfers_last_2yr,night_shifts_per_month,incidents_exposed,training_days_yr,wellness_score,sleep_hours,exercise_freq_per_wk,social_support_score,risk_level
CAPF0177,DSP,54,26,12,1,15,5,11.3,2,5,2,6,4.0,6.1,1,3.9,Medium
CAPF0178,Constable,34,11,35,1,4,3,14.5,5,17,5,13,1.9,4.6,0,3.5,High
CAPF0179,Inspector,47,7,34,1,0,0,13.8,3,15,7,27,3.0,4.6,1,1.8,High
CAPF0180,Constable,39,5,30,1,0,0,13.0,5,18,5,18,1.8,4.9,1,3.0,High
CAPF0181,SI,35,18,10,0,15,6,10.2,2,13,4,18,6.0,5.8,1,4.4,Medium
CAPF0182,Constable,33,3,26,1,1,0,15.6,3,14,9,10,3.5,5.4,1,4.0,High
CAPF0183,Inspector,30,21,19,1,6,5,12.7,1,13,4,5,6.5,6.6,2,5.8,Medium
CAPF0184,SI,54,24,31,1,9,5,15.4,3,15,8,6,1.3,5.4,0,3.7,High
CAPF0185,SI,52,27,14,0,16,4,11.9,1,5,2,29,4.1,6.9,3,5.6,Medium
CAPF0186,Constable,45,27,15,1,6,6,12.5,2,8,5,2,4.3,7.0,1,3.7,Medium
CAPF0187,SI,44,6,29,0,4,4,13.1,4,19,7,3,1.9,4.2,1,1.4,High
CAPF0188,Constable,34,2,20,1,4,3,13.3,3,17,8,12,2.0,4.0,1,2.6,High
CAPF0189,ASI,25,19,26,1,4,4,14.3,5,19,9,0,2.5,4.3,0,3.0,High
CAPF0190,Inspector,42,8,12,1,13,3,10.5,1,8,4,27,6.6,6.6,3,5.5,Medium
CAPF0191,Inspector,49,5,23,0,4,4,15.7,5,14,9,16,2.6,4.9,1,3.6,High
CAPF0192,Constable,45,23,23,1,10,4,10.1,1,7,4,14,5.8,6.0,2,4.5,Medium
CAPF0193,Constable,38,17,12,1,7,2,11.7,2,6,5,16,5.8,6.7,3,6.2,Medium
CAPF0194,ASI,31,10,6,0,20,2,8.5,1,5,0,29,9.1,8.8,6,9.7,Low
CAPF0195,SI,24,1,11,1,12,7,11.0,1,13,3,3,4.6,5.0,3,7.0,Medium
CAPF0196,Constable,35,4,34,1,7,3,13.4,4,16,8,29,3.7,5.0,0,3.1,High
CAPF0197,ASI,38,23,3,0,25,1,9.1,1,4,0,1,9.8,8.2,3,8.1,Low
CAPF0198,DSP,50,7,31,1,6,5,13.4,4,19,8,20,3.4,5.3,0,3.8,High
CAPF0199,Constable,31,10,28,0,6,6,13.7,4,14,9,3,1.4,4.6,0,3.7,High
CAPF0200,SI,52,14,13,0,15,3,12.0,2,8,2,1,5.7,6.6,2,3.5,Medium
CAPF0201,Head Constable,45,18,11,0,15,0,8.5,0,0,2,7,6.2,7.0,3,7.1,Low
CAPF0202,Inspector,34,19,9,1,13,1,8.2,0,0,0,16,9.4,6.8,3,7.3,Low
CAPF0203,SI,42,11,3,0,24,2,8.2,0,1,0,12,9.4,7.5,5,8.7,Low
CAPF0204,SI,49,9,11,1,26,0,9.9,1,5,0,2,8.5,6.8,5,10.0,Low
CAPF0205,Head Constable,32,22,23,0,13,2,12.3,2,11,2,23,6.5,5.4,1,6.4,Medium
CAPF0206,SI,22,4,22,0,16,6,12.3,2,13,5,20,6.2,6.9,2,6.9,Medium
CAPF0207,ASI,35,10,9,1,11,1,9.6,0,4,2,2,7.0,8.6,4,9.6,Low
CAPF0208,SP,38,8,15,1,8,5,11.6,2,12,2,27,5.6,5.9,2,5.7,Medium
CAPF0209,ASI,28,20,25,1,8,3,13.1,5,17,5,24,2.3,4.2,1,2.0,High
CAPF0210,ASI,25,8,5,1,17,0,9.3,1,2,0,2,9.1,7.9,6,9.1,Low
CAPF0211,Inspector,32,15,11,1,12,5,11.8,2,11,5,27,7.0,5.1,2,4.0,Medium
CAPF0212,Constable,52,28,30,1,4,4,15.2,5,12,6,10,2.7,5.3,0,1.4,High
CAPF0213,Constable,54,18,4,1,14,0,8.7,0,0,2,5,6.2,6.7,4,6.6,Low
CAPF0214,SP,51,6,22,1,17,7,12.8,1,10,3,28,5.4,6.9,2,5.2,Medium
CAPF0215,Inspector,33,11,20,0,16,4,12.0,2,6,4,4,4.3,5.8,2,5.5,Medium
CAPF0216,ASI,37,2,16,1,15,4,10.2,1,10,5,1,6.7,6.7,1,6.8,Medium
CAPF0217,Inspector,30,5,29,1,5,3,14.4,4,18,5,9,1.5,4.7,0,2.7,High
CAPF0218,SI,50,3,35,1,5,3,14.7,5,16,6,11,2.5,4.5,1,3.4,High
CAPF0219,Head Constable,51,3,13,0,8,5,10.9,1,6,4,2,6.3,6.0,1,4.5,Medium
CAPF0220,ASI,47,13,29,1,0,0,14.1,4,15,9,19,2.2,4.8,0,3.5,High
CAPF0221,Head Constable,32,24,11,0,13,0,8.4,1,1,0,18,8.7,6.9,4,6.9,Low
CAPF0222,SI,36,18,19,0,8,3,12.5,2,11,4,19,6.7,6.8,2,4.7,Medium
CAPF0223,Constable,48,8,3,0,12,2,9.2,1,5,0,28,9.8,7.4,4,8.0,Low
CAPF0224,Inspector,27,5,17,1,9,7,11.1,1,6,2,24,4.8,5.9,1,4.7,Medium
CAPF0225,SP,26,13,26,1,3,0,13.9,5,14,7,22,3.9,4.1,1,1.7,High
CAPF0226,DSP,42,8,23,0,12,7,12.5,1,7,3,16,7.0,5.3,3,4.6,Medium
CAPF0227,SP,42,5,10,0,13,2,9.4,0,5,0,5,6.2,7.2,6,7.1,Low
CAPF0228,SP,38,2,28,1,6,4,13.5,5,18,6,26,1.3,5.0,1,3.4,High
CAPF0229,Constable,47,15,6,1,10,0,8.7,0,2,0,3,8.7,8.3,6,7.7,Low
CAPF0230,SI,54,17,21,1,2,0,13.0,4,14,6,7,2.3,4.9,1,1.7,High
CAPF0231,Constable,44,2,5,1,29,2,9.4,1,4,1,23,6.9,7.9,6,9.5,Low
CAPF0232,Constable,33,21,24,1,7,6,13.2,3,18,7,10,3.7,5.3,0,1.0,High
CAPF0233,SI,43,5,1,0,25,0,9.9,0,3,1,26,9.1,8.0,6,7.1,Low
CAPF0234,SP,39,10,7,0,29,0,9.9,1,5,2,8,9.1,8.1,4,9.1,Low
CAPF0235,Head Constable,48,17,33,1,3,0,14.6,3,17,6,11,2.7,4.2,1,1.6,High
CAPF0236,ASI,48,9,10,1,24,1,9.0,1,1,1,21,8.4,8.2,4,6.3,Low
CAPF0237,ASI,23,29,13,1,5,7,10.3,1,9,3,3,4.8,6.4,2,5.7,Medium
CAPF0238,Head Constable,25,7,28,1,8,7,13.5,3,17,7,16,3.3,5.3,0,2.9,High
CAPF0239,ASI,42,25,10,1,7,5,10.7,1,10,5,27,4.0,6.3,2,4.7,Medium
CAPF0240,SI,44,15,32,1,7,3,14.5,3,14,8,19,3.0,4.9,0,3.1,High
CAPF0241,SP,31,18,1,0,25,1,8.4,1,1,2,5,6.9,7.6,5,8.4,Low
CAPF0242,SI,38,9,11,1,28,1,8.6,1,2,1,28,9.0,7.8,5,8.1,Low
CAPF0243,Constable,36,28,16,0,15,4,10.8,2,10,2,17,5.4,6.3,3,5.5,Medium
CAPF0244,DSP,22,6,35,0,6,5,14.3,4,15,9,5,3.8,4.7,1,1.3,High
CAPF0245,Inspector,33,28,5,1,14,0,9.6,1,1,2,26,8.7,8.3,5,6.4,Low
CAPF0246,SP,37,1,18,0,9,5,11.1,2,8,5,16,4.6,6.6,3,6.2,Medium
CAPF0247,Constable,43,9,6,0,25,2,9.1,1,5,0,28,9.5,8.6,4,7.4,Low
CAPF0248,SP,54,17,22,0,6,7,12.2,2,11,2,29,6.2,5.3,1,5.9,Medium
CAPF0249,Head Constable,40,22,3,0,16,2,8.5,0,3,2,14,6.8,7.1,3,7.2,Low
CAPF0250,ASI,22,2,22,1,6,4,11.2,1,5,4,28,6.3,6.4,3,3.8,Medium
CAPF0251,Inspector,22,17,10,1,5,4,11.5,1,11,5,29,4.6,7.0,1,4.6,Medium
CAPF0252,Constable,43,16,30,1,8,3,14.4,3,16,7,8,3.6,5.0,1,3.2,High
CAPF0253,ASI,39,19,15,1,18,7,12.4,1,7,4,15,5.5,6.7,1,3.1,Medium
CAPF0254,DSP,36,20,6,0,22,0,8.8,1,3,2,28,9.9,6.7,3,7.8,Low
CAPF0255,Inspector,48,11,12,0,19,4,10.7,2,12,4,1,5.1,6.4,3,3.2,Medium
CAPF0256,Constable,53,26,18,1,17,7,10.0,1,12,4,19,5.8,5.1,1,6.1,Medium
CAPF0257,Inspector,47,4,3,1,12,0,9.2,1,3,0,9,9.0,7.4,4,9.6,Low
CAPF0258,DSP,33,10,23,1,6,7,10.5,2,10,5,11,4.6,5.4,3,5.4,Medium
CAPF0259,Constable,24,29,19,0,19,4,12.1,2,11,3,0,4.8,6.9,1,5.8,Medium
CAPF0260,SI,41,26,14,0,11,7,12.1,2,8,4,4,6.3,5.5,3,6.3,Medium
CAPF0261,Constable,27,25,21,1,18,3,10.7,2,10,3,23,6.5,5.8,3,5.5,Medium
CAPF0262,SP,52,27,7,1,29,2,10.0,0,1,2,28,6.3,8.5,3,6.4,Low
CAPF0263,Inspector,43,6,30,0,5,5,13.7,4,16,9,13,3.7,4.2,1,3.5,High
